ИНДЕКСЫ  ПОТРЕБИТЕЛЬСКИХ  ЦЕН  ПО РЕСПУБЛИКЕ  БЕЛАРУСЬ;;;;;
(предыдущий месяц = 100);;;;;
;;;;;
;2 0 2 4  г о д;;;;
;январь;февраль;март;апрель;май
мотоцикл, скутер, мотороллер;100,34;100,53;100,41;100,12;101,20
ПЕЧАТНЫЕ ИЗДАНИЯ;102,70;100,01;100,12;98,85;101,56
ежедневная газета;103,85;100,16;100,32;100,00;100,37
еженедельная газета;102,96;100,00;100,29;100,24;100,02
ежемесячный журнал;108,72;100,25;100,16;101,19;101,68
книги;99,81;99,90;99,79;95,56;104,16
ТОПЛИВО, ГОРЮЧЕ-СМАЗОЧНЫЕ МАТЕРИАЛЫ;100,01;99,94;100,00;100,00;100,83
бензин автомобильный;100,00;100,00;100,00;100,00;100,87
топливо дизельное;100,00;100,00;100,00;100,00;100,85
газовое моторное топливо;100,03;100,04;100,00;100,00;99,96
масло моторное;100,26;98,04;100,14;100,08;100,20
